ID,Title,Pillar,Marker,Priority,Effort,Status,Where shown,Current state,Build outline,Notes
F-001,Daily meditation rotation,Domov,FEATURE-NEEDED-DOMOV-MEDITATION,P0,S,✅ Done 2026-04-27,"Domov ""Meditácia dňa""; Myseľ featured",Wired via useDailyMeditation. Schema: meditations.featured_on date column added.,"Existing public.meditations table; featured_on=today wins, else dayOfYear fallback. Hook ships hardcoded fallback so UI never blanks pre-migration.",Admin: Gabi sets featured_on via Supabase Studio. F-026 audio player still needed for actual playback.
F-002,Daily recipe rotation,Strava,FEATURE-NEEDED-STRAVA-DAILY-RECIPE,P0,S,✅ Done 2026-04-27,"Strava ""Recept dňa""; Domov nutrition fallback",Wired via useDailyRecipe. Schema: recipes.featured_on date column added.,"recipes.featured_on=today wins, else deterministic dayOfYear. Both DomovNew and Strava read from hook with shape-adapted local fallback.",Same admin pattern as F-001
F-003,Reflection store on user.id,Domov,"FEATURE-NEEDED-DOMOV-REFLECTIONS, FEATURE-NEEDED-PROFIL-REFLECTION-COUNT",P0,M,⏳ Not started,"Domov reflection card; Profil ""X reflexií"" stat",Reflections currently scoped via access codes (legacy useReflectionData) — NOT a reflections table. Closest live table is diary_entries (per audit). Domov can't access; Profil shows —,"Add user_id-scoped diary_entries lookup via new useAccountReflections() hook; or extend useReflectionData to resolve access code from auth context (simpler).",Audit-corrected — there is no `reflections` table; it's `diary_entries`
F-004,Symptom log persistence,Periodka,FEATURE-NEEDED-PERIODKA-SYMPTOMS,P0,S-M,⏳ Not started,"Periodka chip selector; calendar dots",Chips render but tap doesn't persist; calendar only marks today,"cycle_symptoms table likely already exists per audit (in 004_neome_missing_tables); confirm columns then extend useCycleData with toggleSymptom mutation; wire chips and dots.",Verify cycle_symptoms columns vs design (intensity int)
F-005,Cancel flow → 3-step warm arc,Cancel,"FEATURE-NEEDED-CANCEL-RETENTION-COUPON, FEATURE-NEEDED-CANCEL-CONFIRM, FEATURE-NEEDED-CANCEL-PAUSE",P0,M,⏳ Not started,"Settings → Cancel (BC-1)",CancelArc.tsx UI is wired; does not call Stripe yet,"Retention screen issues Stripe coupon; confirm calls subscription.update({cancel_at_period_end:true}); pause = period_end pause flag.",Stripe-flavored — stays on main with you driving
F-006,Mondays-only program write-back,Telo,(BC-5; no marker),P0,S,⏳ Not started,"Telo ProgramDetail ""Aktivovať program · DD.mes"" CTA",Picker UI works; CTA navigates without persisting,"Live tables are program_progress + program_purchases (audit-corrected — not user_programs). Add start_date column to program_progress with Monday DB check; activateProgram(slug,startDate) mutation in useUserProgram.",Audit-corrected table name
F-007,Account deletion,Settings,FEATURE-NEEDED-ACCOUNT-DELETE,P0,M,✅ Done 2026-04-27,"Settings → Zmazať účet",Wired. Netlify fn /delete-account does Stripe customer.del + auth.admin.deleteUser (cascades app rows via FK).,"Caller passes user access token; fn verifies; calls Stripe + Supabase admin delete in sequence. SignOut + redirect on client side.",Requires SUPABASE_SERVICE_ROLE_KEY + STRIPE_SECRET_KEY env
F-008,Habit creation persistence,Periodka,FEATURE-NEEDED-HABIT-PERSIST,P0,S,⏳ Not started,Habit Compose screen,Possibly already works via useSupabaseHabits — needs verification,Audit useSupabaseHabits insert flow from HabitCompose; add server validation,Audit before launch — likely already works
F-009,Settings profile save,Settings,FEATURE-NEEDED-SETTINGS-PROFILE-SAVE,P0,S,✅ Done 2026-04-27,"Settings → Profil (name, bio, avatar)",Wired. Migration adds profiles.bio.,"updateProfile() called on Save; full_name + bio persisted. username/birthdate/city remain in user_metadata for now (extend if needed).",F-009-EXT could promote remaining fields
F-010,Workout completion logging,Telo,FEATURE-NEEDED-COMPLETION-WORKOUT-LOG,P0,S,⏳ Not started,Completion screen after a workout session,Mood pick doesn't persist; depends on F-003 reflection store,"useWorkoutHistory.logSession({exercise_id, duration, completed_at}) — verify it exists and call from CompletionWorkout",Streak calculations depend on this
