1.,Tvarohová štrúdľa s čučoriedkami
Beata Trečerova,30 min.
,Postup prípravy:
,"Zmiešajte tvaroh s jedným celým vajíčkom, Zlatým klasom a vanilkovým cukrom. Z balenia štrudľového cesta odoberte 3 plátky"
," a plnku navrstvite na 3⁄4 cesta. Plnku posypte čučoriedkami a jemne pretočte, zabaľte. Druhé vajíčko rozšľahajte a časťou potrite vrch. "
,Pečte vo vyhriatej rúre na 180° 20 minút. Potom znovu potrite zvyškom vajíčka a dajte ešte na 5 minút zapiecť. Po dopečení 
,"prekryte mokrou bavlnenou utierkou, aby vrch cesta neztvrdol, ale zostal jemný."
,
,INGREDIENCIE
,"1 x balenie tvaroh jemný hrudkovitý 2,5 % (250 g)"
,2 ks slepačie vajce (110 g)
,10 g krémový prášok s vanilkovou arómou napr. Dr. Oetker Zlatý klas
,10 g vanilkový cukor
,3 x plátok štrúdľové cesto (57 g)
,100 g mrazené čučoriedky
,
,
,
2.,Domáca musli tyčinka
,30 min.
,Postup prípravy:
,"Rúru predhrejte na 180 °C. Potom si pripravte plech cca 20 cm, ktorý prestriete papierom na pečenie. Zmiešajte quinoa vločky "
,spolu s orieškami semienkami a kokosovým olejom. Vymiešanú masu natrite na pripravený plech a pečite v rúre približne 6 minút.
," Po upečení premiestnite zmes na tácku a nechajte vychladnúť. Vychladnutú zmes spojte so zvyšnými prísadami a miešajte, kým sa všetky "
,ingrediencie dokonale nespoja. Vymiešané cesto roztiahnite rovnomerne do pripravenej formy na pečenie a nechajte v rúre približne
," 14 minút, kým nebude povrch upečený do zlatista. Vyberte plech z rúry a nechajte vychladnúť."
,
,INGREDIENCIE
,100 g quinoa vločky
,10 ks orechy vlašské (30 g)
,10 ks orechy lieskové (10 g)
,4 ČL slnečnicové semená (16 g)
,10 a 1⁄2 PL proteín v prášku (73 %) napr. 100 % Whey protein (105 g)
,1 ks slepačie vajce (55 g)
,1 balenie grécky jogurt napr. Bakoma (180 g)
,7 ČL arašidové maslo (35 g)
,3 PL med (54 g)
,5 ČL kokosový olej (25 g)
,20 g sušené jablká
,20 g sušené figy
,20 g sušené hrušky
,
,
,
4.,Jogurt s malinami a vlašskými orechami
,5 min.
,Postup prípravy:
,"Do malého hrnca dajte maliny, pridajte smotanu (ak je uvedená v recepte), kakao a med. Na záver môžete na malej"
,"panvici opražiť zľahka podrvené kukuričné lupienky a vlašské orechy. Do pohára dajte maliny, na to jogurt a lupienky"
,s orechami.
,
,INGREDIENCIE
,"13 PL jogurt biely (max. 0,3 % tuku) (260 g)"
,4 ks orechy vlašské (12 g)
,6 PL maliny (126 g)
,"1 ČL kakaový prášok, 12 % obsah tuku (8 g)"
,1⁄2 x ČL med včelí (3.5 g)
,
,
,
6.,Muffiny
,30 min.
,Postup prípravy - Muffiny
,"Ovsené vločky rozmixujte na múku. V miske ich zmiešajte s roztlačenými banánmi, roztopenou horkou čokoládou a následne"
, so všetkými ostatnými surovinami. Cesto dávkujte do foriem na muffiny (najlepšie silikónových). Muffiny pečte 20 - 25 minút na
,"200 stupňoch do zlatista. Konzumujte predpísané množstvo muffinov. Ingrediencie sú uvádzané v surovom stave pred tým,"
, ako ich dáte do rúry.
,
,INGREDIENCIE - Muffiny
,200 g ovsené vločky
,220 g grécky jogurt
,2 ks banány (260 g)
,"1⁄2 dl mlieko polotučné 1,5 % (75 g)"
,2 ks slepačie vajce (110 g)
,8 g kypriaci prášok do pečiva
,"2 x kocka (4×4,5 cm) čokoláda horká 81 % napr. Arriba Superieur (20 g)"
,6 ks orechy vlašské (18 g)
,4 PL čakankový sirup (72 g)
,
,
,
7.,Čokoláda
,Postup prípravy:
,Kvalitná horká čokoláda. Konzumujte maximálne 3-krát v priebehu 7 dní.
,
,INGREDIENCIE
,"5 a 1⁄2 x kocka (4×4,5 cm) čokoláda horká 71 % napr. Madagascar (55 g)"
,
,
,
8.,"Smoothie - špenát, pomaranč, mrkva"
,5 min.
,Postup prípravy:
,Ingrediencie spolu s trochou vody (ak je smoothie príliš husté) rozmixujte a vypite. Použiť môžete aj niektorú z
,pomocných ingrediencií.
,
,INGREDIENCIE
,2 kus pomaranče (420 g)
,1 PL ľanový olej lisovaný za studena (12 g)
,3 a 1⁄2 ks mrkva (297.5 g)
,2 miska objem (300 ml) špenát listový (40 g)
,Ďalšie ingrediencie:
,kurkuma (štipka) (ak na prísady nie ste alergická)
,
,
,
9.,Avokádové smoothie
,8 min.
,Postup prípravy:
,"Avokádo ošúpte a rozštvrťte. Potom spolu s nakrájaným ovocím, trochou zázvoru a lístkami mäty alebo limetkou"
,"vložte do mixéra. Pridajte vodu (o niečo viac ako mlieka) a spolu rozmixujte. V prípade, že nemáte k dispozícii mixér,"
,ingrediencie zmiešajte a poriadne popučte.
,
,INGREDIENCIE
,2 a 1⁄2 dl mlieko polotučné (250 g)
,15 x 5 bobúľ čučoriedky (135 g)
,45 g avokádo
,Ďalšie ingrediencie:
,"niekoľko lístkov mäty (5 - 10), limetka a zázvor - podľa chuti (ak na prísady nie ste alergická)"
,
,
,
10.,Mandľovo-ovsená bábovka
,45 min
,Postup prípravy:
,Recept pripravte podľa návodu nižšie. Porcie sú uvádzané v surovom stave. Zapite mliekom (ak je uvedené).
,
,Postup prípravy - Mandľovo-ovsená bábovka:
,"Kokosové mlieko v plechovke dajte na noc do chladničky. V miske zmiešajte pomleté ovsené vločky a mandle, prášok do pečiva a mak. "
,"Do zmesi pridajte mlieko, čakankový sirup, vajcia a cesto poriadne vymiešajte. Vzniknuté cesto vylejte do silikónovej bábovkovej formy"
," a pečte 35 minút pri 180 stupňoch dozlatista. Hotovú bábovku nechajte vychladnúť a polejte stuhnutou časťou kokosového mlieka, ktorá sa "
,za noc vytvorila vo vrchnej časti plechovky. 
,
,INGREDIENCIE
,1 a 1⁄2 x porcia Mandľovo-ovsená bábovka (120 g) 
,3 dl Rajo Lakto Free Acidko kyslomliečny nápoj biely 1% 450 g (300 g)
,
,INGREDIENCIE - Mandľovo-ovsená bábovka
,18 PL ovsené vločky (198 g)
,100 ks mandle (100 g)
,3 a 1⁄2 dl mlieko polotučné (350 g)
,2 x kus slepačie vajce (110 g)
,2 PL - zarovnaná mak (30 g)
,1 a 1⁄2 dl kokosový nápoj (150 g)
,10 g kypriaci prášok do pečiva
,10 ČL čakankový sirup (40 g)
,
,
,
11.,Kokosovo-banánový chlieb
,60 min.
,Postup prípravy:
,Krajce kokosovo-banánového chleba potrite medom (ak uvádza recept). Konzumujte s čerstvým mliekom (pokiaľ
,uvádza recept).
,
,Postup prípravy - Kokosovo-banánový chlieb:
,"Rúru si predhrejte na 180 stupňov. V hlbokej miske zmiešajte všetky suché ingrediencie a postupne pridávajte vajcia s mliekom,"
,"olejom, roztlačeným banánom a sladidlom. Zmes premiestnite do formy na chlieb (dĺžka 30 cm), ktorý máte vyložený papierom na"
,"pečenie (zmes bude tuhšia, kokosová múka ma tendenciu vsiaknuť veľa tekutiny). Pečte 45 – 50 minút. Pred krájaním nechajte dobre "
,vychladnúť.
,
,INGREDIENCIE
,2 x krajec Kokosovo-banánový chlieb (120 g) 
,2 PL med (36 g)
,
,INGREDIENCIE - Kokosovo-banánový chlieb
,5 ks slepačie vajce (275 g)
,1 x šálka (250 ml) kokosová múka (148 g)
,1⁄2 dl kokosový nápoj (50 g)
,5 PL kokosový olej (60 g)
,1 ks banány (130 g)
,2 PL javorový sirup (24 g)
,Ďalšie ingrediencie:
,"soľ, sóda bikarbóna (ak na prísady nie ste alergická)"
,
,
,
12.,Banán s orechami a jogurtom
,5 min.
,Postup prípravy:
,"Banán nakrájajte na kúsky, zalejte jogurtom a na záver rozdrvte niekoľko orechov. Tento recept si môžete nachystať"
,do misky vopred.
,
,INGREDIENCIE
,2 stredný kus banány (180 g)
,13 ks mandle (13 g)
,5 PL jogurt sójový biely BIO napr. SOJADE (100 g)
,
,
,
13.,Cookies sušienky
,15 min.
,Postup prípravy:
,Recept na cookies sušienky pripravte podľa návodu nižšie. Hmotnosť sušienok je uvádzaná v surovom stave.
,
,Postup prípravy - Cookies sušienky:
,V miske zmiešajte ovsené vločky s rozpučenými banánmi. K zmesi pridajte arašidové maslo a čokoládu nakrájanú na drobné kúsky.
, Vytvarujte sušienky a dajte piecť do rúry na 10 minút pri teplote 170 °C.
,
,INGREDIENCIE
,85 g Cookies sušienky
,
,INGREDIENCIE - Cookies sušienky
,200 g ovsené vločky
,200 g arašidové maslo
,100 g čokoláda horká
,2 ks banány (260 g)
,
,
,
14.,Zelerové pyré s ovocím
,10 min.
,Postup prípravy:
,"Surový zeler postrúhajte, rovnako aj ovocie. Premiešajte s olejom, citrónovou šťavou (podľa chuti) a medom alebo"
,sirupom. Posypte mletými orechami a strúhaným syrom (ak uvádza recept).
,
,INGREDIENCIE
,"80 g tvrdý syr 20 %, napr. Madeland"
,1 ks jablká (170 g)
,3 ČL chia semienka (9 g)
,1 a 1⁄2 x priemerný kus zeler buľvový (75 g)
,1⁄2 PL javorový sirup (6 g)
,Ďalšie ingrediencie:
,citrónová šťava (ak na prísady nie ste alergická)
,
,
,
15.,Ovocie - subtropické
,5 min.
,Postup prípravy:
,"Ovocie konzumujte spolu s orechami, pokiaľ recept uvádza."
,
,INGREDIENCIE
,3 plátok veľký melón červený (600 g)
,19 ks mandle (19 g)
,
,
,
16.,Cuketový koláč s marhuľami
,75 min.
,Postup prípravy:
,"Koláč konzumujte spolu s nápojom, ak je v recepte uvedený."
,
,Postup prípravy - Cuketový koláč s marhuľami:
,Všetky ingrediencie okrem vločiek a marhúľ rozmixujte. Do zmesi primiešajte pohánkové vločky a polovicu čajovej lyžičky sódy
,"bikarbóny, vylejte do silikónovej formy, ozdobte prekrojenými marhuľami. Ak sú niektoré marhule príliš mäkké, pokojne ich primixujte"
